Experimento,Caso,Camada_Oculta,Alpha,Max_Epocas,Erro_Minimo,Tempo_Original_Segundos,Tempo_Ruidoso_Segundos
exp_144,1,15,0.2,2000,0.005,1.2146,0.3288
exp_145,1,30,0.01,1000,0.05,2.9261,0.4094
exp_146,1,30,0.01,1000,0.01,10.3625,0.3019
exp_147,1,30,0.01,1000,0.005,18.4044,0.3344
exp_148,1,30,0.01,1500,0.05,4.1622,0.3506
exp_149,1,30,0.01,1500,0.01,9.3391,0.3283
exp_150,1,30,0.01,1500,0.005,14.9675,0.3249
exp_151,1,30,0.01,2000,0.05,4.2831,0.3528
exp_152,1,30,0.01,2000,0.01,11.2074,0.3736
exp_153,1,30,0.01,2000,0.005,16.9886,0.3830
exp_154,1,30,0.05,1000,0.05,0.8784,0.3756
exp_155,1,30,0.05,1000,0.01,2.6346,0.3401
exp_156,1,30,0.05,1000,0.005,3.6277,0.3480
exp_157,1,30,0.05,1500,0.05,0.8820,0.3478
exp_158,1,30,0.05,1500,0.01,2.9288,0.3605
exp_159,1,30,0.05,1500,0.005,3.8407,0.3479
exp_160,1,30,0.05,2000,0.05,0.8467,0.3377
exp_161,1,30,0.05,2000,0.01,2.9864,0.3422
exp_162,1,30,0.05,2000,0.005,3.0047,0.4180
exp_163,1,30,0.1,1000,0.05,0.4188,0.4540
exp_164,1,30,0.1,1000,0.01,1.2109,0.3806
exp_165,1,30,0.1,1000,0.005,1.8688,0.4216
exp_166,1,30,0.1,1500,0.05,0.4482,0.3571
exp_167,1,30,0.1,1500,0.01,1.7862,0.3446
exp_168,1,30,0.1,1500,0.005,1.7631,0.3474
exp_169,1,30,0.1,2000,0.05,0.5439,0.3327
exp_170,1,30,0.1,2000,0.01,2.1459,0.3449
exp_171,1,30,0.1,2000,0.005,1.9450,0.3950
exp_172,1,30,0.2,1000,0.05,0.4163,0.3546
exp_173,1,30,0.2,1000,0.01,1.3057,0.3423
exp_174,1,30,0.2,1000,0.005,1.1639,0.3518
exp_175,1,30,0.2,1500,0.05,0.4443,0.4251
exp_176,1,30,0.2,1500,0.01,0.7532,0.3497
exp_177,1,30,0.2,1500,0.005,1.4104,0.3340
exp_178,1,30,0.2,2000,0.05,0.4483,0.3805
exp_179,1,30,0.2,2000,0.01,1.3693,0.3886
exp_180,1,30,0.2,2000,0.005,1.1182,0.4062
exp_181,1,50,0.01,1000,0.05,2.8512,0.3303
exp_182,1,50,0.01,1000,0.01,9.9760,0.3164
exp_183,1,50,0.01,1000,0.005,16.2029,0.3354
exp_184,1,50,0.01,1500,0.05,3.2327,0.3396
exp_185,1,50,0.01,1500,0.01,11.1536,0.2984
