Epoca,Erro_Quadratico_Medio
322,0.49790140816761574
323,0.49791369511838207
324,0.49792654821539345
325,0.4979394859820699
326,0.4979522780637748
327,0.49796484317915696
328,0.4979771814396406
329,0.497989332519963
330,0.4980013512194194
331,0.49801329401997574
332,0.4980252123049486
333,0.49803714946021604
334,0.4980491401413544
335,0.49806121067511605
336,0.49807337999177664
337,0.49808566074659644
338,0.4980980604456191
339,0.4981105824834747
340,0.49812322705391754
341,0.49813599192330726
342,0.49814887307269995
343,0.49816186522151995
344,0.498174962248483
345,0.4981881575255929
346,0.49820144417995316
347,0.49821481529645517
348,0.4982282640725841
349,0.49824178393483304
350,0.4982553686245913
351,0.4982690122599726
352,0.49828270937885577
353,0.4982964549673885
354,0.4983102444773868
355,0.4983240738353671
356,0.4983379394453994
357,0.4983518381875193
358,0.498365767413074
359,0.49837972493809285
360,0.4983937090355415
361,0.4984077184271395
362,0.4984217522752748
363,0.49843581017543964
364,0.49844989214953367
365,0.49846399864029833
366,0.4984781305071136
367,0.49849228902334475
368,0.49850647587539937
369,0.49852069316365205
370,0.4985349434053691
371,0.4985492295397737
372,0.49856355493540017
373,0.49857792339987994
374,0.49859233919233165
375,0.4986068070385361
376,0.4986213321491015
377,0.498635920240851
378,0.49865057756169895
379,0.4986653109193141
380,0.4986801277139167
381,0.4986950359756026
382,0.49871004440663386
383,0.49872516242922776
384,0.49874040023941235
385,0.4987557688676334
386,0.4987712802468782
387,0.49878694728919704
388,0.49880278397163774
389,0.4988188054327441
390,0.4988350280809631
391,0.49885146971647787
392,0.4988681496682331
393,0.4988850889481747
394,0.4989023104250407
395,0.4989198390203852
396,0.49893770192994186
397,0.49895592887390045
398,0.4989745523802292
399,0.4989936081057957
400,0.4990131352007977
401,0.499033176722806
402,0.49905378010771323
403,0.49907499770591757
404,0.49909688739326974
405,0.49911951326760456
406,0.4991429464430412
407,0.49916726595563193
408,0.4991925597952505
409,0.4992189260796349
410,0.4992464743870151
411,0.49927532726320445
412,0.4993056219167825
413,0.4993375121108438
414,0.4993711702500117
415,0.4994067896443827
416,0.49944458690366106
417,0.49948480436893317
418,0.49952771241713445
419,0.49957361136087514
420,0.49962283249428174
421,0.4996757375762155
422,0.4997327156579254
423,0.4997941756048882
424,0.4998605318791554
425,0.4999321800982405
426,0.5000094575871069
427,0.5000925827672413
428,0.5001815663077224
429,0.500276087687191
430,0.5003753354082623
431,0.5004778209200811
432,0.5005811986913286
433,0.50068215726709
434,0.5007764766895463
435,0.5008593473267436
436,0.5009259779683535
437,0.5009723832891281
438,0.5009961029535552
439,0.5009965835753553
440,0.5009750980352554
441,0.5009342889935099
442,0.500877554467152
443,0.5008084834118447
444,0.5007304540926347
445,0.5006464118842585
446,0.5005587887677959
447,0.5004695127770262
448,0.5003800636630654
449,0.500291545394515
450,0.5002047588208723
451,0.5001202666040937
452,0.5000384477165732
453,0.4999595414939894
454,0.4998836824119418
455,0.499810927121134
456,0.4997412752491075
457,0.49967468528988335
458,0.49961108667362364
459,0.49955038888970577
460,0.4994924883483012
461,0.4994372735118044
462,0.4993846287055199
463,0.4993344369219161
